element_id,element_type,latitude,longitude,highway,crossing,traffic_signals
10290546884,node,-27.467196,153.015297,traffic_signals,,signal
10290546885,node,-27.4674006,153.0152737,traffic_signals,,signal
10308053645,node,-27.4691752,153.0033626,traffic_signals,,on_demand
10308078312,node,-27.470576,152.9998869,crossing,traffic_signals,
10308078322,node,-27.4705747,152.9997368,crossing,traffic_signals,
10308078339,node,-27.4707413,152.9998425,crossing,traffic_signals,
10308078449,node,-27.4727316,153.0013758,crossing,unmarked,
10308078464,node,-27.4716817,152.9999852,crossing,unmarked,
10308078613,node,-27.4693245,153.0029485,crossing,,
10310210552,node,-27.4675418,153.0176518,traffic_signals,,signal
10572264077,node,-27.4707151,153.0034792,crossing,unmarked,
10572264086,node,-27.4698397,153.0042821,crossing,unmarked,
10740205388,node,-27.4679668,153.0072321,crossing,traffic_signals,
10740205400,node,-27.4679837,153.0068722,crossing,unmarked,
10740255607,node,-27.4675122,153.0082935,crossing,unmarked,
10740255613,node,-27.4672733,153.0088888,crossing,traffic_signals,
10740255635,node,-27.4665526,153.0127741,crossing,unmarked,
10740255638,node,-27.4664896,153.0133081,crossing,unmarked,
10817737185,node,-27.4585894,153.0146136,traffic_signals,,
10817737187,node,-27.4585062,153.0145703,traffic_signals,,
10817737192,node,-27.4584968,153.014431,traffic_signals,,
10817737204,node,-27.4585223,153.0145231,crossing,traffic_signals,
10817746605,node,-27.4586276,153.0145841,crossing,traffic_signals,
10817746609,node,-27.4586849,153.0142917,crossing,traffic_signals,
10817746610,node,-27.4586403,153.0143617,crossing,traffic_signals,
10817746611,node,-27.4585813,153.0144838,crossing,traffic_signals,
10817746612,node,-27.4584376,153.0144974,crossing,unmarked,
10823625009,node,-27.4666582,153.018996,traffic_signals,,signal
10823625010,node,-27.4668246,153.0200768,traffic_signals,,signal
10823625012,node,-27.4669646,153.0202437,traffic_signals,,signal
11013395758,node,-27.4561271,153.0074779,crossing,unmarked,
11013395774,node,-27.4569466,153.0104874,crossing,unmarked,
11076180213,node,-27.4641108,153.008438,crossing,unmarked,
11076180238,node,-27.4658372,153.008309,crossing,unmarked,
11076180244,node,-27.4665475,153.0084804,crossing,unmarked,
11076180255,node,-27.4661879,153.0085889,crossing,unmarked,
